Name,Brand,Ratings,No_of_ratings,No_of_reviews,Product_features,MSP,MRP,Discount
CARRIER 1.5 Ton 5 Star Split Inverter AC  - White,CARRIER,4.3,23, 3,"['Power Consumption: 1260 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor']",39999,76090,47
IFB 7 Stage Air Treatment 1.5 Ton 3 Star Split Inverter PM 0.3 Filter Silver Series AC  - White,IFB,4.3,1999, 306,"['Power Consumption: 1088.64 kWh', 'Room Size: 111 to 150 sqft', '1 year warranty on product + 5 years on ODU PCB, 10 years on compressor']",37990,49590,23
SAMSUNG Convertible 1 Ton 3 Star Split Inverter AC  - White,SAMSUNG,4.1,1128, 121,"['Power Consumption: 624.48 W', 'Room Size: 90 sqft or Below', '1 Year Standard Warranty on Product, 10 Years Warranty on Compressor']",29999,50990,41
Voltas 1.5 Ton 5 Star Split Inverter AC  - White,Voltas,4.2,4734, 494,"['Power Consumption: 1450 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",37490,73990,49
LG Super Convertible 5-in-1 Cooling 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Prote...,LG,4.1,1660, 167,"['Power Consumption: 1050.84 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging']",36990,68990,46
"LG Super Convertible 6-in-1 Cooling 1.5 Ton 5 Star Split Dual Inverter AI, 4 Way Swing, HD Filter with...",LG,4.2,9111, 948,"['Power Consumption: 818.81 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging']",42990,75990,43
SAMSUNG Convertible 5-in-1 Cooling Mode 1.5 Ton 5 Star Split Inverter Anti Bacteria Filter AC  - White,SAMSUNG,4.1,66, 5,"['Power Consumption: 1380 W', 'Room Size: 111 to 150 sqft', '1 Year Standard Warranty on Product, 10 Years Warranty on Compressor']",36990,65990,43
CARRIER 1.2 Ton 5 Star Split Inverter AC  - White,CARRIER,3.9,8, 1,"['Power Consumption: 950 W', 'Room Size: 91 to 110 sqft', '1 Year Warranty on Product and 10 Years on Compressor']",36499,66590,45
SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,SAMSUNG,4.2,26394," 2,631","['Power Consumption: 832.8 kWh', 'Room Size: 111 to 150 sqft', '1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung']",40990,65990,37
Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter AC  - White,Whirlpool,4.1,6539, 753,"['Power Consumption: 1570 W', 'Room Size: 111 to 150 sqft', '1 year comprehensive+5year on compressor']",33990,64600,47
